,행정동_코드,기준_년_코드,기준_분기_코드,분기당_매출_금액,분기당_매출_건수,점포수,면적 (k㎡),건당_매출액,점포_밀집도
0,11110515,2019,1,4675790356,237169,305,2.57,23701.0,118.0
1,11110515,2019,2,4826602913,288328,280,2.57,20963.6,109.0
2,11110515,2019,3,5054226611,294296,306,2.57,21133.0,119.0
3,11110515,2019,4,5259740378,276138,296,2.57,21326.2,116.0
4,11110515,2020,1,3831066308,201207,280,2.57,19221.6,109.0
5,11110515,2020,2,4730870452,263071,283,2.57,20319.6,110.0
6,11110515,2020,3,4912809663,246114,285,2.57,21529.8,111.0
7,11110515,2020,4,4614333368,224882,284,2.57,22191.6,110.0
8,11110515,2021,1,5052351888,215236,270,2.57,25203.4,105.0
9,11110515,2021,2,5758401246,304010,290,2.57,21042.0,113.0
10,11110515,2021,3,5690299916,307752,290,2.57,21209.6,113.0
11,11110515,2021,4,8582006362,470558,291,2.57,21886.0,113.0
12,11110515,2022,1,7429359827,396055,154,2.57,21375.8,60.0
13,11110515,2022,2,9769473444,490001,158,2.57,23409.2,61.0
14,11110515,2022,3,8535962529,459884,161,2.57,22606.0,62.0
15,11110530,2019,1,74559698081,3137464,2358,1.23,24319.5,1917.0
16,11110530,2019,2,71022270007,3162035,2157,1.23,21741.5,1754.0
17,11110530,2019,3,77015247367,3511470,2420,1.23,22742.333333333332,1966.0
18,11110530,2019,4,86748797245,3702433,2486,1.23,23277.8,2021.0
19,11110530,2020,1,61959156668,2751361,2454,1.23,22359.2,1996.0
20,11110530,2020,2,65730377935,2932904,2420,1.23,22637.4,1967.0
21,11110530,2020,3,62549374390,2841779,2380,1.23,21938.0,1936.0
22,11110530,2020,4,60387306433,2651349,2338,1.23,23223.0,1900.0
23,11110530,2021,1,56209354543,2463449,2247,1.23,23663.2,1827.0
24,11110530,2021,2,70066034950,3120289,2318,1.23,22516.4,1884.0
25,11110530,2021,3,60502995118,3045061,2283,1.23,20284.4,1856.0
26,11110530,2021,4,81365615342,3480606,2252,1.23,23400.6,1830.0
27,11110530,2022,1,63001434955,2790140,1160,1.23,23342.2,943.0
28,11110530,2022,2,91359255992,3738816,1156,1.23,28102.0,940.0
29,11110530,2022,3,88383945235,3684362,1164,1.23,28811.0,948.0
30,11110540,2019,1,9604960801,380947,390,1.49,25213.0,262.0
31,11110540,2019,2,10326503859,382938,345,1.49,26967.0,232.0
32,11110540,2019,3,11235133762,457529,366,1.49,24556.0,246.0
33,11110540,2019,4,12783791757,493214,399,1.49,25919.0,268.0
34,11110540,2020,1,8506260364,360002,380,1.49,23628.0,255.0
35,11110540,2020,2,9685499098,432194,351,1.49,22410.0,236.0
36,11110540,2020,3,7293211601,288450,328,1.49,25284.0,220.0
37,11110540,2020,4,7657560577,294457,316,1.49,26006.0,212.0
38,11110540,2021,1,6699602278,268023,296,1.49,24996.0,199.0
39,11110540,2021,2,9132082426,373500,315,1.49,24450.0,211.0
40,11110540,2021,3,7513971286,305453,300,1.49,24599.0,201.0
41,11110540,2021,4,9801497082,378545,284,1.49,25893.0,191.0
42,11110540,2022,1,7457070511,322601,172,1.49,23115.0,115.0
43,11110540,2022,2,13900333853,541780,176,1.49,25657.0,118.0
44,11110540,2022,3,11720649301,447431,180,1.49,26195.0,121.0
45,11110550,2019,1,3506705822,137876,191,2.27,23999.6,83.0
46,11110550,2019,2,3260735269,129812,174,2.27,24483.0,76.0
47,11110550,2019,3,3970224287,159842,194,2.27,24294.6,85.0
48,11110550,2019,4,4268688573,154064,163,2.27,25269.8,72.0
49,11110550,2020,1,3496732557,129670,156,2.27,25744.0,68.0
50,11110550,2020,2,4463839669,165627,155,2.27,25853.6,68.0
51,11110550,2020,3,3690213518,137353,150,2.27,25724.4,66.0
52,11110550,2020,4,3764349912,135549,138,2.27,25902.25,61.0
53,11110550,2021,1,2983621270,113159,136,2.27,24953.75,60.0
54,11110550,2021,2,3828300894,138060,145,2.27,25692.0,63.0
55,11110550,2021,3,2989964516,117490,138,2.27,24164.0,61.0
56,11110550,2021,4,3352133782,119450,145,2.27,28105.25,65.0
57,11110550,2022,1,2312468682,94343,74,2.27,25528.5,33.0
58,11110550,2022,2,3668805230,121283,73,2.27,29602.25,33.0
59,11110550,2022,3,3295958478,109034,72,2.27,29991.25,32.0
60,11110560,2019,1,5054591776,268922,157,8.87,34207.333333333336,18.0
